2026-02-04 11:23:06 | memory | INFO | Memory database initialized at /Users/emrekoca/.config/cdacs-bot/memory.db
2026-02-04 11:23:06 | main | INFO | Agent başlatılıyor...
2026-02-04 11:23:06 | agent | INFO | Agent başlatılıyor...
2026-02-04 11:23:06 | llm | INFO | Model llama3.1:8b hazır
2026-02-04 11:23:06 | agent | INFO | LLM hazır
2026-02-04 11:23:06 | agent | INFO | Reasoning engine hazır
2026-02-04 11:23:06 | agent | INFO | Autonomous planner hazır
2026-02-04 11:23:06 | agent | INFO | Plan executor hazır
2026-02-04 11:23:06 | security.audit | INFO | Audit database initialized at /Users/emrekoca/.config/cdacs-bot/audit.db
2026-02-04 11:23:06 | agent | INFO | Agent loop hazır
2026-02-04 11:23:06 | agent | INFO | ✅ Agent hazır - Autonomous mode active
2026-02-04 11:23:06 | main | INFO | Telegram uygulaması oluşturuluyor...
2026-02-04 11:23:06 | telegram | INFO | Handler'lar kaydedildi
2026-02-04 11:23:06 | main | INFO | ========================================
2026-02-04 11:23:06 | main | INFO | 🤖 Bot başlatıldı!
2026-02-04 11:23:06 | main | INFO | ========================================
2026-02-04 11:23:07 | telegram.ext.Application | INFO | Application started
2026-02-04 11:25:00 | telegram | INFO | [8433815573] Osman Emre: selam...
2026-02-04 11:25:01 | agent | INFO | İşleniyor: selam...
2026-02-04 11:25:01 | agent_loop | INFO | Processing input: selam
2026-02-04 11:25:07 | telegram | INFO | [8433815573] Osman Emre: parlaklığı kıs...
2026-02-04 11:25:07 | agent | INFO | İşleniyor: parlaklığı kıs...
2026-02-04 11:25:07 | agent_loop | INFO | Processing input: parlaklığı kıs
2026-02-04 11:25:07 | agent_loop | INFO | Executing step step_1: parlaklığı kıs
2026-02-04 11:25:07 | task_executor | INFO | Executing set_brightness with params: {'level': 30}
2026-02-04 11:25:07 | task_executor | INFO | Task set_brightness completed in 0.01s
2026-02-04 11:25:27 | agent_loop | INFO | Executing step step_1: parlaklığı kıs
